Year,Month,Day,Site,Depth (m),Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2023,7,3,Coral City,12.1,1,GGG,ppor,Porites,porites,12.00,8.00,5.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,past,Porites,astreoides,5.00,4.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,10.00,6.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,past,Porites,astreoides,20.00,10.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,ppor,Porites,porites,20.00,18.00,10.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,15.00,10.00,8.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,malc,Millepora,alcicornis,35.00,20.00,15.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,25.00,20.00,5.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,15.00,10.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,apal,Acropora,palmata,90.00,90.00,50.00,,,,,,,,,,5,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,12.00,10.00,1.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,12.00,1.00,23.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,ppor,Porites,porites,12.00,5.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,20.00,20.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,15.00,15.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,30.00,30.00,3.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,40.00,5.00,1.00,,,,,,,,,,15,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,9.00,7.00,5.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,16.00,11.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,ahum,Agaricia,humilis,8.00,8.00,5.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,ppor,Porites,porites,18.00,17.00,4.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,pstr,Pseudodiploria,strigosa,30.00,25.00,32.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,13.00,21.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,18.00,12.00,12.00,,,,,,,,,,25,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,15.00,10.00,22.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,18.00,15.00,8.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,ofav,Orbicella,faveolata,36.00,36.00,10.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,mdec,Madracis,decactis,18.00,12.00,12.00,,,,,,,,,,60,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,10.00,8.00,3.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,17.00,16.00,8.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,12.00,10.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,22.00,14.00,3.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,22.00,16.00,10.00,,,,,,,,,,15,0,0,,
