Year,Month,Day,Site,Depth (m),Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2023,7,3,Grundys,9,1,Haley,OFAV,Orbicella,faveolata,60.00,20.00,10.00,1256.637061,,,,,,,,,50,628.3185307,628.3185307,,
2023,7,3,Grundys,9,1,Haley,OANN,Orbicella,annularis,230.00,130.00,100.00,56548.66776,,,,,5,,,5,,2827.433388,53721.23438,,
2023,7,3,Grundys,9,1,Haley,PPOR,Porites,porites,50.00,10.00,10.00,942.4777961,,,,,,,,5,10,141.3716694,801.1061267,,
2023,7,3,Grundys,9,1,Haley,OANN,Orbicella,annularis,70.00,100.00,100.00,26703.53756,,,,,,,,,,0,26703.53756,,
2023,7,3,Grundys,9,1,Haley,OFAV,Orbicella,faveolata,40.00,20.00,10.00,942.4777961,,,,,,,,,,0,942.4777961,,
2023,7,3,Grundys,9,1,Haley,AHUM,Agaricia,humilis,60.00,20.00,3.00,376.9911184,,,,,,,,,,0,376.9911184,,
2023,7,3,Grundys,9,1,Haley,AAGA,Agaricia,agaricites,50.00,10.00,50.00,4712.38898,,,,,,,,,,0,4712.38898,,
2023,7,3,Grundys,9,1,Haley,PAST,Porites,astreoides,10.00,10.00,1.00,31.41592654,,,,,,,,,,0,31.41592654,,
2023,7,3,Grundys,9,1,Haley,PPOR,Porites,porites,10.00,5.00,5.00,117.8097245,,,,,,,,,,0,117.8097245,,
2023,7,3,Grundys,9,1,Haley,AAGA,Agaricia,agaricites,30.00,20.00,2.00,157.0796327,,,,,,,,,,0,157.0796327,,
2023,7,3,Grundys,9,1,Haley,MLAM,Mycetophellia,larmarckiana,20.00,30.00,3.00,235.619449,,,,,,,,,,0,235.619449,,
2023,7,3,Grundys,9,1,Haley,MLAM,Mycetophellia,larmarckiana,10.00,10.00,5.00,157.0796327,,,,,,,,,,0,157.0796327,,
2023,7,3,Grundys,9,1,Haley,AAGA,Agaricia,agaricites,50.00,20.00,5.00,549.7787144,,,,,,,,,,0,549.7787144,,
2023,7,3,Grundys,9,1,Haley,PAST,Porites,astreoides,30.00,20.00,1.00,78.53981634,,,,,,,,,,0,78.53981634,,
2023,7,3,Grundys,9,1,Haley,PAST,Porites,astreoides,10.00,10.00,5.00,157.0796327,,,,,,,,10,,15.70796327,141.3716694,,
2023,7,3,Grundys,9,1,Haley,PPOR,Porites,porites,50.00,60.00,10.00,1727.875959,,,,,,,,,80,1382.300768,345.5751919,,
2023,7,3,Grundys,9,1,Haley,OANN,Orbicella,annularis,100.00,40.00,70.00,15393.804,,,,,,,,,,0,15393.804,,
2023,7,3,Grundys,9,1,Haley,PPOR,Porites,porites,40.00,20.00,20.00,1884.955592,,,,,,,,,,0,1884.955592,,
2023,7,3,Grundys,9,1,Haley,AAGA,Agaricia,agaricites,20.00,40.00,40.00,3769.911184,,,,,,,,,,0,3769.911184,,
2023,7,3,Grundys,9,1,Haley,EFAS,Eusmilia,fastigiata,10.00,10.00,5.00,157.0796327,,,,,,,,,,0,157.0796327,,
2023,7,3,Grundys,9,1,Haley,PPOR,Porites,porites,50.00,20.00,30.00,3298.672286,,,,,,,,,,0,3298.672286,,
2023,7,3,Grundys,9,1,Haley,AAGA,Agaricia,agaricites,30.00,10.00,5.00,314.1592654,,,,,,,,,,0,314.1592654,,
2023,7,3,Grundys,9,1,Haley,AAGA,Agaricia,agaricites,50.00,30.00,20.00,2513.274123,,,,,,,,,,0,2513.274123,,
2023,7,3,Grundys,9,1,Haley,ALAM,Agaricia,larmarcki,20.00,20.00,5.00,314.1592654,,,,,,,,,,0,314.1592654,,
2023,7,3,Grundys,9,1,Haley,OANN,Orbicella,annularis,120.00,100.00,50.00,17278.75959,,,,,,,,,,0,17278.75959,,
2023,7,3,Grundys,9,1,Haley,PPOR,Porites,porites,30.00,30.00,10.00,942.4777961,,,,,,,,,,0,942.4777961,,
2023,7,3,Grundys,9,1,Haley,PAST,Porites,astreoides,10.00,10.00,3.00,94.24777961,,,,,,,,,,0,94.24777961,,
2023,7,3,Grundys,9,1,Haley,PAST,Porites,astreoides,10.00,10.00,3.00,94.24777961,,,,,,,,,,0,94.24777961,,
2023,7,3,Grundys,9,1,Haley,PPOR,Porites,porites,60.00,20.00,10.00,1256.637061,,,,,,,,,80,1005.309649,251.3274123,,
2023,7,3,Grundys,9,1,Haley,AAGA,Agaricia,agaricites,20.00,10.00,5.00,235.619449,,,,,,,,,,0,235.619449,,
2023,7,3,Grundys,9,1,Haley,PSTR,Pseudodiploria,strigosa,30.00,30.00,1.00,94.24777961,,,,,,,,,,0,94.24777961,,
2023,7,3,Grundys,9,1,Haley,PCOL,Porites,colonensis,10.00,10.00,2.00,62.83185307,,,,,,,,,,0,62.83185307,,
2023,7,3,Westpoint,12.12,1,Haley,PFUR,Porites,furcata,15.00,15.00,5.00,235.619449,,,,,,,,,,0,235.619449,,
2023,7,3,Westpoint,12.12,1,Haley,AAGA,Agaricia,agaricites,30.00,10.00,10.00,628.3185307,,,,,,,,,,0,628.3185307,,
2023,7,3,Westpoint,12.12,1,Haley,AAGA,Agaricia,agaricites,30.00,20.00,20.00,1570.796327,,,,,,,,,50,785.3981634,785.3981634,,
2023,7,3,Westpoint,12.12,1,Haley,SSID,Siderastrea,siderea,20.00,10.00,5.00,235.619449,,,,,,,,,,0,235.619449,,
2023,7,3,Westpoint,12.12,1,Haley,SSID,Siderastrea,siderea,10.00,10.00,2.00,62.83185307,,,,,,,,,,0,62.83185307,,
