Year,Site,Coral No.,OBSERV,TRANSECT,Depth (m),Coral Cover (cm),Sand Cover (cm),CORR CORAL COVER,Coral Spp.,Max   Diameter   (cm),Max Width (cm),Max Height  (cm),% old,%recent,Disease 1 ,Disease 2,Bleaching,Damsel fish,Comments,,,
1999,West Point ,13,BR,2,15,250,0,250,Colnat,120,,150,0,0,,,,,,,,
1999,West Point ,14,BR,,,,,,Monann,100,,30,5,5,,,,,snails,,,
1999,West Point ,15,BR,,,,,,Dipstr,60,,5,5,0,,,,,,,,
1999,West Point ,16,BR,,,,,,Monfav,30,,20,0,2,,,,,,,,
1999,West Point ,17,BR,,,,,,Monann,30,,20,2,0,,,,,,,,
1999,West Point ,18,BR,,,,,,Monann,40,,20,60,0,,,,,,,,
1999,West Point ,19,BR,,,,,,Moncav,40,,20,60,0,,,,,,,,
1999,West Point ,20,BR,,,,,,Agaaga,30,,20,30,0,,,,,,,,
1999,West Point ,21,BR,,,,,,Moncav,60,,20,20,0,,,,,,,,
1999,West Point ,22,BR,,,,,,Monann,35,,20,5,0,,,,,,,,
1999,West Point ,23,BR,3,14,230,0,230,Monann,35,,20,15,0,,,,,,,,
1999,West Point ,24,BR,,,,,,Agaaga,30,,5,2,0,,,,,,,,
1999,West Point ,25,BR,,,,,,Colnat,50,,10,90,0,,,,,,,,
1999,West Point ,26,BR,,,,,,Monann,70,,40,80,0,,,,,,,,
1999,West Point ,27,BR,,,,,,Porast,30,,10,0,0,,,,,,,,
1999,West Point ,28,BR,,,,,,Monann,30,,20,5,0,,,,,,,,
1999,West Point ,29,BR,,,,,,Agaaga,40,,10,15,0,,,,,,,,
1999,West Point ,30,BR,,,,,,Monann,40,,30,20,0,,,,,,,,
1999,West Point ,31,BR,,,,,,Sidsid,30,,10,5,0,,,,,,,,
1999,West Point ,32,BR,,,,,,Sidsid,40,,10,5,0,,,,,,,,
1999,West Point ,33,BR,,,,,,Moncav,50,,30,25,0,,,,,,,,
1999,West Point ,34,BR,4,16,280,0,280,Moncav,40,,30,2,0,,,,,,,,
1999,West Point ,35,BR,,,,,,Monfra,50,,40,10,0,,,,,,,,
1999,West Point ,36,BR,,,,,,Moncav,30,,20,5,0,,,,,,,,
1999,West Point ,37,BR,,,,,,Monann,40,,20,0,0,,,,,,,,
1999,West Point ,38,BR,,,,,,Porast,25,,10,0,0,,,,,,,,
1999,West Point ,39,BR,,,,,,Diplab,50,,20,10,0,,,,,,,,
1999,West Point ,40,BR,,,,,,Porast,30,,20,40,0,,,,,,,,
1999,West Point ,41,BR,,,,,,Monfra,50,,20,30,0,,,P,,,,,
1999,West Point ,42,BR,,,,,,Porpor,60,,30,15,2,WP,,,,,,,
1999,West Point ,43,BR,,,,,,Moncav,100,,20,0,0,,,,,,,,
1999,West Point ,44,BR,5,14,270,0,270,Manare,25,,5,5,0,,,,,,,,
1999,West Point ,45,BR,,,,,,Moncav,30,,10,5,0,,,,,,,,
1999,West Point ,46,BR,,,,,,Monann,25,,30,0,0,,,,,,,,
1999,West Point ,47,BR,,,,,,Monann,25,,20,30,0,,,,,,,,
1999,West Point ,48,BR,,,,,,Agaaga,30,,5,10,0,,,,,,,,
1999,West Point ,49,BR,,,,,,Porast,30,,5,2,0,,,,,,,,
1999,West Point ,50,BR,,,,,,Monann,80,,40,30,0,,,,,,,,
1999,West Point ,51,BR,,,,,,Colnat,100,,70,0,0,,,,,,,,
1999,West Point ,52,BR,,,,,,Monann,40,,20,40,0,,,,,,,,
1999,West Point ,53,BR,,,,,,Moncav,100,,60,50,0,,,,,,,,
1999,West Point ,54,RG,6,12,175,0,175,Colnat,140,,80,30,10,BB,,,,,,,
1999,West Point ,55,RG,,,,,,Monann,60,,25,20,0,,,,1,,,,
1999,West Point ,56,RG,,,,,,Dicsto,25,,5,0,0,,,,,,,,
1999,West Point ,57,RG,,,,,,Monfav,30,,20,10,0,,,PB,,,,,
1999,West Point ,58,RG,,,,,,Moncav,40,,35,0,0,,,,,,,,
1999,West Point ,59,RG,,,,,,Diplab,35,,25,0,80,,,,,,,,
1999,West Point ,60,RG,,,,,,Moncav,3,,25,50,0,,,,,,,,
1999,West Point ,61,RG,,,,,,Moncav,60,,45,40,0,,,,,,,,
1999,West Point ,62,RG,,,,,,Sidsid,50,,25,0,0,,,,,,,,
1999,West Point ,63,RG,,13,,,,Dipstr,70,,50,40,10,,,,,,,,
1999,West Point ,64,RG,7,13,185,0,185,Agaaga,30,,25,0,0,,,,,,,,
1999,West Point ,65,RG,,,,,,Monfav,40,,20,10,0,,,,2,,,,
1999,West Point ,66,RG,,,,,,Moncav,30,,25,50,0,BB,,,,,,,
1999,West Point ,67,RG,,,,,,Porast,25,,5,0,0,,,,,,,,
1999,West Point ,68,RG,,,,,,Moncav,45,,20,30,0,,,,,,,,
1999,West Point ,69,RG,,,,,,Agaaga,25,,10,0,0,,,,,,,,
1999,West Point ,70,RG,,,,,,Monfav,45,,25,20,0,,,,,,,,
1999,West Point ,71,RG,,,,,,Monfav,25,,10,0,0,,,,,,,,
1999,West Point ,72,RG,,,,,,Diplab,35,,30,50,10,,,p,1,,,,
1999,West Point ,73,RG,,13,,,,Diplab,45,,40,20,0,,,,,,,,
1999,West Point ,74,RG,8,13,235,0,235,Moncav,25,,5,0,0,,,,,,,,
1999,West Point ,75,RG,,,,,,Agaaga,25,,30,10,0,,,,1,,,,
