year,site,observ,transect,depth,percent_cover,Coral Spp.,surface_area,perc_old,perc_new,,,
1999,Coral City ,BR,2,10,0.22,PSTR,1178,0,0,,,
1999,Coral City ,BR,2,10,0.22,OANN,628,5,0,,,
1999,Coral City ,BR,2,10,0.22,PPOR,1257,20,0,,,
1999,Coral City ,BR,2,10,0.22,APAL,43982,10,5,,,
1999,Coral City ,BR,2,10,0.22,APAL,17593,10,0,,,
1999,Coral City ,BR,2,10,0.22,UNKNO,2749,10,0,,,
1999,Coral City ,BR,3,12,0.29,PPOR,3142,15,0,,,
1999,Coral City ,BR,3,12,0.29,OFAV,37699,50,0,,,
1999,Coral City ,BR,3,12,0.29,OANN,1885,50,0,,,
1999,Coral City ,BR,3,12,0.29,OANN,1178,10,0,,,
1999,Coral City ,BR,3,12,0.29,PPOR,1885,30,0,,,
1999,Coral City ,BR,3,12,0.29,OFRA,6283,10,0,,,
1999,Coral City ,BR,3,12,0.29,OFRA,11310,5,0,,,
1999,Coral City ,BR,3,12,0.29,OANN,942,0,0,,,
1999,Coral City ,BR,3,12,0.29,OANN,942,70,0,,,
1999,Coral City ,BR,4,9,0.42,APAL,90478,10,5,,,
1999,Coral City ,BR,4,9,0.42,MALC,1885,15,0,,,
1999,Coral City ,BR,4,9,0.42,MCAV,1885,70,0,,,
1999,Coral City ,BR,4,9,0.42,AAGA,2199,15,0,,,
1999,Coral City ,BR,4,9,0.42,OANN,6283,10,2,,,
1999,Coral City ,BR,4,9,0.42,PPOR,3142,90,0,,,
1999,Coral City ,BR,4,9,0.42,APAL,141372,10,0,,,
1999,Coral City ,BR,4,9,0.42,PAST,1885,0,5,,,
1999,Coral City ,BR,4,9,0.42,EFAS,942,10,0,,,
1999,Coral City ,BR,4,9,0.42,APAL,16965,10,20,,,
1999,Coral City ,BR,5,9,0.25,OFAV,37699,0,70,,,
1999,Coral City ,BR,5,9,0.25,PPOR,3770,90,0,,,
1999,Coral City ,BR,5,9,0.25,PPOR,942,0,10,,,
1999,Coral City ,BR,5,9,0.25,AAGA,1885,0,10,,,
1999,Coral City ,BR,5,9,0.25,AAGA,1885,0,0,,,
1999,Coral City ,BR,5,9,0.25,OFAV,31416,40,30,,,
1999,Coral City ,BR,5,9,0.25,OANN,6283,90,0,,,
1999,Coral City ,BR,5,9,0.25,CNAT,5655,0,0,,,
1999,Coral City ,BR,5,9,0.25,OANN,942,10,0,,,
1999,Coral City ,BR,5,9,0.25,OANN,1885,70,0,,,
1999,Coral City ,BR,5,9,0.25,APAL,22619,0,0,,,
1999,Coral City ,CK,6,9.5,0.23,OANN,3079,25,0,,,
1999,Coral City ,CK,6,9.5,0.23,OFAV,14294,15,0,,,
1999,Coral City ,CK,6,9.5,0.23,PSTR,4398,5,0,,,
1999,Coral City ,CK,6,9.5,0.23,PSTR,2513,8,0,,,
1999,Coral City ,CK,6,9.5,0.23,OANN,2749,75,0,,,
1999,Coral City ,CK,6,9.5,0.23,OANN,3770,25,0,,,
1999,Coral City ,CK,6,9.5,0.23,PSTR,2749,5,0,,,
1999,Coral City ,CK,6,9.5,0.23,OFAV,6597,85,0,,,
1999,Coral City ,CK,6,9.5,0.23,PAST,1571,5,0,,,
1999,Coral City ,CK,7,9,0.15,MALC,13195,10,0,,,
1999,Coral City ,CK,7,9,0.15,OANN,6597,20,0,,,
1999,Coral City ,CK,7,9,0.15,OANN,7854,25,0,,,
1999,Coral City ,CK,7,9,0.15,SSID,1257,10,0,,,
1999,Coral City ,CK,7,9,0.15,PSTR,2639,5,0,,,
1999,Coral City ,CK,7,9,0.15,OANN,2827,10,0,,,
1999,Coral City ,CK,7,9,0.15,AAGA,10996,50,0,,,
